thyroid gland,예문 없음,예문 없음,갑상선,_,,thyroid gland
live up to,예문 없음,예문 없음,~에 부끄럽지 않게[어울리게] 살다쉼표(기대 등)에 부응하다,_,,live up to
rut,예문 없음,예문 없음,바퀴 자국쉼표 판[틀]에 박힌 생활,_,,rut
measure up to,예문 없음,예문 없음,~에 달하다[필적하다],_,,measure up to
credit,예문 없음,예문 없음,신용 거래쉼표 칭찬쉼표 인정,_,,credit
kilter,예문 없음,예문 없음,정상 상태쉼표 순조쉼표 호조,_,,kilter
juncture,예문 없음,예문 없음,시점[단계],_,,juncture
on one따옴표s own account,예문 없음,예문 없음,자기 부담[비용]으로쉼표 자기 책임 아래쉼표 혼자서,_,,on one따옴표s own account
obligate,예문 없음,예문 없음,(법률쉼표 도덕상의)의무를 지우다쉼표 강요하다/감사하는 마음이 우러나게 하다,_,,obligate
trot out,예문 없음,예문 없음,(늘 하는 변명쉼표 이유를) 내놓다[대다],_,,trot out
testimonial,예문 없음,예문 없음,추천서쉼표 추천의 글쉼표 (존경쉼표 감사의 표시로 전하는) 기념물,_,,testimonial
bewilder,예문 없음,예문 없음,어리둥절하게[혼란스럽게] 만들다,_,,bewilder
sage,예문 없음,예문 없음,현자쉼표 현인,_,,sage
homage,예문 없음,예문 없음,경의쉼표 존경의 표시,_,,homage
reign over,예문 없음,예문 없음,~을 다스리다쉼표 ~의 주권을 잡다,_,,reign over
disgruntle,예문 없음,예문 없음,기분 상하게 하다쉼표 ~에게 불만을 품게 하다,_,,disgruntle
size up,예문 없음,예문 없음,평가하다쉼표 (정세를) 판단하다쉼표 (필요 조건 따위에) 맞다,_,,size up
of one따옴표s word,예문 없음,예문 없음,약속을 지키는[준수하는],_,,of one따옴표s word
privilege,예문 없음,예문 없음,특전[특혜]쉼표 특권쉼표 특권을 주다,_,,privilege
meteoric,예문 없음,예문 없음,일약~한,_,,meteoric
overdue,예문 없음,예문 없음,기한이 지난쉼표 벌써 행해졌어야 할쉼표 이미 늦어진,_,,overdue
reconcile,예문 없음,예문 없음,조화시키다쉼표 화해시키다쉼표 받아들이다,_,,reconcile
default,예문 없음,예문 없음,채무 불이행쉼표 (채무를) 이행하지 않다쉼표 체납하다,_,,default
infallible,예문 없음,예문 없음,결코 틀리지[실수하지] 않는,_,,infallible
dispute,예문 없음,예문 없음,분징쉼표 분규쉼표 논란쉼표 논쟁쉼표 반박하다쉼표 분쟁[논란]을 벌이다,_,,dispute
discharge,예문 없음,예문 없음,(어떤 장소나 직무에서) 떠나는 것을 허락하다쉼표  해고하다 내보냄쉼표 퇴원쉼표 제대,_,,discharge
obligation,예문 없음,예문 없음,의무,_,,obligation
be inclined to,예문 없음,예문 없음,~하고 싶어지다쉼표 ~하는 경향이 있다,_,,be inclined to
chisel,예문 없음,예문 없음,(끌로) 새기다[깎다]쉼표 속이다쉼표 (속여서) 뜯어내다,_,,chisel
