oust,-,-,(일자리쉼표 권좌에서) 몰아내다[쫓아내다/ 축출하다],_,,oust
overstuff,-,-,~에 지나치게 채워 넣다,_,,overstuff
perpetrate,-,-,(범행쉼표 과실쉼표 악행을) 저지르다[자행하다],_,,perpetrate
peruse,-,-,숙독[정독]하다,_,,peruse
predicament,-,-,곤경쉼표 궁지,_,,predicament
preserve,-,-,지키다[보호하다]쉼표 보존[관리]하다,_,,preserve
probe,-,-,캐묻다쉼표 캐다쉼표 조사하다쉼표 살피다[탐사/탐색하다],_,,probe
procrastinate,-,-,미루다[질질 끌다],_,,procrastinate
procure,-,-,(특히 어렵게) 구하다[입수하다],_,,procure
proffer,-,-,(물건을 잡고) 내밀다[권하다]쉼표 (충고쉼표 설명 등을)해 주다[내놓다],_,,proffer
prostrate,-,-,엎드린[엎어져 있는]쉼표 (충격 등으로) 몸[정신]을 가누지 못하는쉼표 엎드리다쉼표 몸[정신]을 가누지 못하게 하다,_,,prostrate
pugnacious,-,-,싸우기 좋아하는쉼표 호전적인,_,,pugnacious
rankle,-,-,(어떤 사건쉼표 누구의 말 등이 오랫동안) 마음을 괴롭히다[마음에 맺히다],_,,rankle
rational,-,-,합리적인쉼표 이성적인,_,,rational
rationalize,-,-,합리화하다,_,,rationalize
rebel,-,-,반역자쉼표 반란을 일으키다,_,,rebel
reiterate,-,-,반복하다[되풀이하다],_,,reiterate
reliable,-,-,믿을 수 있는쉼표 신뢰할 수 있는,_,,reliable
repercussion,-,-,(어떤 사건이 초래한쉼표 보통 좋지 못한쉼표 간접적인) 영향,_,,repercussion
replicate,-,-,정확히 모사하다쉼표 복제하다,_,,replicate
