단어,뜻,예문,예문 번역,빈칸 예문,등장형태
abandon,버리다쉼표 유기하다쉼표 그만두다쉼표 포기하다,,,,
accommodate,받아들이다[수용하다]쉼표 숙박시키다쉼표 적응시키다쉼표 맞추다,,,,
accompany,동행하다쉼표 수반하다쉼표 반주하다,,,,
accuse,고발[기소]하다쉼표 비난하다,,,,
acknowledge,인정하다,,,,
administer,관리[운영]하다쉼표 시행[집행]하다쉼표 투여하다,,,,
affirm,단언하다쉼표 확언하다쉼표 긍정하다,,,,
alleviate,경감시키다쉼표 완화하다,,,,
approve,찬성하다쉼표 인정하다쉼표 승인하다,,,,
ascend,오르다쉼표 상승하다,,,,
attain,얻다쉼표 달성하다쉼표 도달하다,,,,
authorize,권한을 부여하다쉼표 허가하다,,,,
banish,추방하다쉼표 떨쳐 버리다,,,,
blush,얼굴을 붉히다쉼표 홍조,,,,
cease,멈추다쉼표 중단되다,,,,
cite,인용하다쉼표 언급하다,,,,
collapse,붕괴하다쉼표 실패쉼표 폭락,,,,
collide,충돌하다쉼표 상충하다,,,,
command,명령하다쉼표 지휘하다쉼표 장악하다,,,,
comprise,구성되다쉼표 포함하다,,,,
conceal,감추다,,,,
condense,응축되다쉼표 요약하다,,,,
confirm,확인하다쉼표 확증하다,,,,
conformity,순응쉼표 일치,,,,
confrontation,직면쉼표 대치,,,,
consent,동의쉼표 승낙쉼표 동의하다,,,,
contradict,반박하다쉼표 상반되다,,,,
contribute,기부하다쉼표 기여하다쉼표 원인이 되다,,,,
convert,전환하다쉼표 개종자,,,,
convict,유죄를 선고하다쉼표 죄수,,,,
correspond,부합하다쉼표 서신을 주고받다,,,,
crave,갈망하다,,,,
crawl,기다쉼표 서행,,,,
cultivate,경작하다쉼표 양성하다,,,,
decay,부패쉼표 쇠퇴,,,,
declare,선언하다쉼표 신고하다,,,,
decline,감소하다쉼표 거절하다,,,,
decode,해독하다쉼표 이해하다,,,,
demolish,철거하다쉼표 뒤집다,,,,
demonstrate,입증하다쉼표 설명하다쉼표 시위하다,,,,
depict,묘사하다,,,,
derive,끌어내다,,,,
descend,내려가다,,,,
designate,지정하다쉼표 나타내다,,,,
despair,절망하다쉼표 체념하다,,,,
detach,분리하다쉼표 파견하다,,,,
diagnose,진단하다,,,,
discard,버리다,,,,
discharge,방출하다쉼표 해고하다쉼표 석방하다,,,,
discriminate,차별하다,,,,
disrupt,방해하다쉼표 붕괴시키다,,,,
distract,산만하게 하다,,,,
distribute,분배하다,,,,
dominate,지배하다,,,,
eliminate,제거하다,,,,
estimate,추정하다쉼표 평가하다,,,,
evaporate,증발하다,,,,
evoke,환기시키다쉼표 불러일으키다,,,,
exert,행사하다,,,,
expire,만료되다,,,,
exploit,착취하다쉼표 개발하다,,,,
flourish,번창하다,,,,
fulfill,성취하다,,,,
grant,수여하다쉼표 승인하다,,,,
grasp,잡다쉼표 이해하다,,,,
grieve,슬퍼하다,,,,
identify,식별하다,,,,
illuminate,조명하다쉼표 설명하다,,,,
illustrate,삽화를 넣다쉼표 설명하다,,,,
infect,감염시키다,,,,
infer,추론하다,,,,
initiate,착수하다,,,,
inquire,묻다쉼표 조사하다,,,,
insert,삽입하다,,,,
integrate,통합하다,,,,
intend,의도하다,,,,
interrupt,방해하다,,,,
investigate,조사하다,,,,
isolate,격리하다,,,,
justify,정당화하다,,,,
launch,시작하다쉼표 출시하다,,,,
meditate,명상하다,,,,
merge,합병하다,,,,
modify,수정하다,,,,
nurture,양육하다,,,,
oblige,강요하다,,,,
oppose,억압하다,,,,
originate,유래하다,,,,
overlook,간과하다,,,,
overwhelm,압도하다,,,,
paralyze,마비시키다,,,,
penetrate,침투하다,,,,
perish,죽다쉼표 소멸하다,,,,
plead,애원하다쉼표 변호하다,,,,
postpone,연기하다,,,,
precede,앞서다,,,,
prescribe,처방하다쉼표 규정하다,,,,
preserve,보존하다,,,,
prioritize,우선순위를 매기다,,,,
prohibit,금지하다,,,,
purify,정화하다,,,,
qualify,자격을 주다,,,,
quote,인용하다,,,,
reinforce,강화하다,,,,
release,석방하다,,,,
reside,거주하다,,,,
restrict,제한하다,,,,
retreat,후퇴하다,,,,
reveal,폭로하다,,,,
revenge,복수하다,,,,
revise,수정하다,,,,
revolve,회전하다,,,,
rotate,교대하다,,,,
sabotage,파괴하다,,,,
segregate,분리하다,,,,
soak,적시다,,,,
soar,급등하다,,,,
strive,노력하다,,,,
subscribe,구독하다,,,,
supervise,감독하다,,,,
surrender,항복하다,,,,
transcend,초월하다,,,,
transmit,전송하다,,,,
transplant,이식하다,,,,
underlie,기초가 되다,,,,
undertake,착수하다,,,,
withdraw,철수하다,,,,
withhold,보류하다,,,,
withstand,견디다,,,,
yield,산출하다,,,,
